No. Urut,Genre,Judul Lagu,Nama Album,Penyanyi 1,Penyanyi 2,Penyanyi 3,Penulis Lagu,Komposer,Penyusun Musik (Arranger),Produser Musik,Pencampuran Audio (Audio Mixing),Penguasaan Audio (Audio Mastering),Publisher,Aggregator,Release Date Aggregator,Link
11,Pop,ÙŠØ§ Ø±Ø³ÙˆÙ„ Ø§Ù„Ù„Ù‡,Songs of Faith,Nannouz,,,"Dynta Nabila, Nano Suwarno",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,26 Oktober 2023,https://youtu.be/KLVbi5DlCTI?feature=shared
12,Pop,Bapak,Songs of Faith,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,18 Oktober 2023,https://youtu.be/ETXx75ZkNmE?feature=shared
13,Pop,Ku Tak Sebaik Itu,Lagu Untuk Ibu,Indra,,,Indra Gunawan,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,17 September 2023,https://youtu.be/GWgdzBXB-WI?feature=shared
14,Pop,Karna Ku Sayang Kamu,Lagu Untuk Ibu,WHO,The Kids,,"Nano Suwarno, Sujarwo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,16 September 2023,https://youtu.be/HZZ1GY16J5c?feature=shared
15,Pop,Ma mÃ¨re,Lagu Untuk Ibu,Nannouz,,,Lily Artha,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,16 September 2023,https://youtu.be/V5Gs97p17Uk?feature=shared
16,Pop,Madre,Lagu Untuk Ibu,Nannouz,,,"Adi Subari, Re Mo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,16 September 2023,https://youtu.be/pw1Y5pr6AHg?feature=shared
17,Pop,Untukmu Anakku,Lagu Untuk Ibu,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,16 September 2023,https://youtu.be/K3oohv1oLho?feature=shared
18,Pop,IBU,Lagu Untuk Ibu,Nannouz,-,,Adi Subari,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,31 Juli 2023,https://youtu.be/2fk-WqSR1Rc?feature=shared
19,Pop,Minor,Senandika,Hendy Kris,Ovi,,Hendy Kris,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/PDI5Bc0GSX0?feature=shared
20,Pop,Sudah,Senandika,Hendy Kris,Ovi,,Hendy Kris,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/JEwG3XVs4mc?feature=shared
21,Pop,Diam,Senandika,Hendy Kris,Ovi,,"Odik, Hendy Kris",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/Z8DuWIEXm30?feature=shared
22,Pop,It's A Long Road,Randomly Mixed,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,17 September 2023,https://youtu.be/FcBB4GiCBL4?feature=shared
23,Pop,On The Road Again,Randomly Mixed,,,,"Johanna Kakkuri, Adi Subari",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,10 November 2023,https://youtu.be/BkoUw7U-rBE?feature=shared
24,Pop,"Nyt Ollan ""On The Road Again""",Randomly Mixed,Adilisius,,,"Johanna Kakkuri, Adi Subari",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,7 Desember 2023,https://youtu.be/_Rq4j6xGFsU?feature=shared
25,Pop,Probably,Probably,Felicia Angelica,,,Felicia Angelica,"Felicia Angelica, Alfath Flemmo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,19 Desember 2023,https://youtu.be/i7lUuLC4sKY?feature=shared
26,Pop,Menjadi Bintang,Menjadi Bintang,Felicia Angelica,,,Felicia Angelica,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,24 Desember 2023,https://youtu.be/8zs6W5LhB_o?feature=shared
27,Pop,Anaking,Nusantara,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,7 Desember 2023,https://youtu.be/UlsrDF71t8A?feature=shared
28,Pop Ballad,Luka Tak Terobati,Luka Tak Terobati,Deddy Chen,,,"Maharsyalfath, Deddy Chen",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Hery Alesis,Hery Alesis,Deddy Chen,TuneCore,29 Februari 2024,https://youtu.be/ukM7D3FL2og?feature=shared
29,Pop Ballad,Jangan Halangi Pintu,Randomly Mixed,Indra Rawi,,,Indra Rawi,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,9 April 2024,https://youtu.be/4AbohCUOBB8?feature=shared
30,Pop/RnB,Hilang di Awan,Senandika,Hendy Kris,Ovi,,Hendy Kris,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/XD23rkG5gVg?feature=shared
31,Pop-Jazz,Life's Only Once (Duet),Randomly Mixed,Nannouz,Adilisius,,"Nano Suwarno, Maharsyalfath",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,22 April 2024,https://youtu.be/lexa1UZRypU?feature=shared
32,Pop-Jazz,Life's Only Once,Lagu Untuk Ibu,Nannouz,-,,"Adi Subari, Maharsyalfath",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,31 Juli 2023,https://youtu.be/zmRF3h6EW2Q?feature=shared
33,Pop-Jazz,Strange,Strange,Felicia Angelica,,,Felicia Angelica,"Felicia Angelica, Alfath Flemmo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,19 Desember 2023,https://youtu.be/4-30iYx31LU?feature=shared
34,Pop Indie/Folk,Senandika,Senandika,Hendy Kris,,,"Demas Azzaq, Hendy Kris",Alfath Flemmo,"Ade, Alfath Flemmo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/5Vc7G0ANJNg?feature=shared
35,Pop Indie/Folk,Mengapa,Senandika,Hendy Kris,Ovi,,Hendy Kris,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/qVEGe87ZuvQ?feature=shared
36,Pop Orchestra,Missen,Senandika,Hendy Kris,,,Hendy Kris,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/tiLhdF6BQ1k?feature=shared
37,Pop-Rock,Kau Katakan,Kau Katakan,Redi Story,,,Redi Story,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,26 Februari 2024,https://youtu.be/9XaTqRUUIuc?feature=shared
38,Pop Anak-Anak,Tarian Capung,Tarian Capung,Dynta Nabila,,,Dynta Nabila,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,-,https://youtu.be/EsCcz17BFAk?feature=shared
39,Pop Ballad,Suka,Suka,Steven Phillips,,,"Steven Chen, Alfath Flemmo, Dynta Nabila","Steven Phillips, Alfath Flemmo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
40,Pop Ballad,Cinta Yang Dulu,Cinta Yang Dulu,Dynta Nabila,Billy Mambrasar (Staff Khusus Presiden RI),,Dynta Nabila,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
41,Pop Ballad,Tak Lagi Sama,Tak Lagi Sama,Dynta Nabila,,,"Dynta Nabila, Resa Husin, Alfath Flemmo","Resa Husin, Alfath Flemmo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
42,Pop,Tarian Rentak Melayu Serumpun,Nusantara,SRI,TUTI,Andin,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
43,Pop,Tanah Pilih Pusako Betuah,Nusantara,Indra,Nannouz,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
44,Pop,Untitled,Richelle,Richelle,,,Dynta Nabila,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
45,Pop,Lelah,Lelah,Farhans,,,Farhans,"Farhans, Alfath Flemmo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
46,Pop Melayu,Amak,Nusantara,Indra Rawi,,,Indra Rawi,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
47,Pop Sunda,Budak Baong,Nusantara,Dzaki,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
48,Pop/ Hip-Hop,Wearing My Crown,Wearing My Crown,Ricardo,,,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
49,Pop/EDM,Semangat Hari Ini,BesThree,BesThree,,,"Maharsyalfath, BesThree",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
50,Jazz,Lights In Your Eyes,Randomly Mixed,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,8 April 2024,https://youtu.be/H-_3_uVuSgc?feature=shared
51,Jazz,Salah Sangka Salah Duga,Randomly Mixed,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,8 April 2024,https://youtu.be/xIeRcV2cQuM?feature=shared
52,Jazz,La luce lunare,Randomly Mixed,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,8 Januari 2024,https://youtu.be/h-bgGZ0xezk?feature=shared
53,Jazz,Moonlight,Randomly Mixed,Nannouz,,,"Dynta Nabila, Nano Suwarno",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,6 Desember 2023,https://youtu.be/JKg0WgZONHw?feature=shared
54,Jazz,Akankah Kita,Senandika,Hendy Kris,Ovi,,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,23 Juli 2023,https://youtu.be/MHtazxL9TuI?feature=shared
55,Bossa Nova/Jazz,Terpaut Rindu,Terpaut Rindu,Rusli Zainudin,,,Rusli Zainudin,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,,https://youtu.be/OoiI577HOJQ?feature=shared
56,Jazz,Kekasih,Kekasih,Husni Pratama,,,Husni Pratama,"Husni Pratama, Alfath Flemmo",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,,,,Belum Rilis
57,EDM,Rasa Cinta,Rasa Cinta,Bamus,,,Bambang P,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,18 Desember 2023,https://youtu.be/P8pHQbetCnU?feature=shared
58,EDM,Tunggu Aku Kembali,Tunggu Aku Kembali,Bamus,,,Bambang P,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,8 Januari 2024,https://youtu.be/RtRiUHoRoHM?feature=shared
59,Dangdut,"Bandung, I Love You Forever",Lagu Untuk Ibu,Nannouz,,,Adi Subari,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,16 September 2023,https://youtu.be/58SgitLCAeY?feature=shared
60,Dangdut,Jangji Pasini,Lagu Untuk Ibu,Nannouz,SRI,,Adi Subari,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,16 September 2023,https://youtu.be/2xNIjmOdsbA?feature=shared
61,Dangdut Ambyar,Lemu,Lemu,Maliq Abdullah,,,Maliq Abdullah,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,22 Juli 2023,https://youtu.be/Tke8mrZkCjQ?feature=shared
62,Dangdut Ambyar,Wis Dalane,Wis Dalane,Dynta Nabila,,,Dynta Nabila,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,,Belum Rilis
63,Keroncong Modern,Ing Tembe Wayah Sore,Nusantara,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,-,Belum Rilis
64,Folk,Padang Ulan,Nusantara,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,-,Belum Rilis
65,Folk,Terang Bulan,Nusantara,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,-,Belum Rilis
66,Folk,Betawi,Nusantara,Nannouz,SRI,Andin,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,-,Belum Rilis
67,Acoustic,Amak Piano Version,Nusantara,Indra,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,-,Belum Rilis
68,Orchestra,Tanah Airku Yang Permai,Nusantara,Adilisius,Nannouz,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,-,-,-,Belum Rilis
